cycle,my_capacity,nasa_capacity
1,1.8621974749807595,1.8564874208181574
2,1.8520340988284159,1.846327249719927
3,1.8410092613351696,1.8353491942234077
4,1.8408894677392338,1.8352625275821128
5,1.8403326559115973,1.8346455082120419
6,1.8412866034441233,1.8356616600675495
7,1.840815431632445,1.8351461429226603
8,1.831397544039848,1.8257567905665537
9,1.8304070691234298,1.8247738529891333
10,1.8302377364771436,1.824613268496936
11,1.8302158928628807,1.8246195526864504
12,1.8198127856477733,1.8142019357673917
13,1.8193240114093459,1.8137521577549054
14,1.8190257316048177,1.8134404914735822
15,1.8081765902347484,1.8025980036306504
16,1.8076945166251945,1.80210690024615
17,1.8082110888338765,1.802579500826209
18,1.808641165126712,1.8030683142834096
19,1.8083602126685068,1.8027776247196041
20,1.8526466554412164,1.8470259949329193
21,1.852993237997977,1.847417311283644
22,1.841820050557515,1.8361774213478947
23,1.8314228470342304,1.8257807475776242
24,1.830721152862573,1.8251136435078368
25,1.831156144725759,1.8255815042203762
26,1.819614699559525,1.8140311275083907
27,1.820400873994381,1.8147691941158939
28,1.819557980042868,1.813969388710352
29,1.8083477053967627,1.802765665167823
30,1.809662225021804,1.804077040117352
31,1.8545372688103563,1.8518025516704486
32,1.833404999225745,1.8307038456739428
33,1.8226227704881464,1.8199041089501267
34,1.8120031413478972,1.8093079637028517
35,1.807338868287388,1.80460990458052
36,1.802099664003082,1.7993770651972192
37,1.7911561182689733,1.7884432335370462
38,1.7856407748592467,1.7829230484252723
39,1.7757400675935913,1.7730337158018288
40,1.7758053895762138,1.773037755078937
41,1.7706115317250413,1.7678721106662054
42,1.7650625113695226,1.7623150704093087
43,1.7732246765124362,1.7676172924938447
44,1.7653852501687934,1.762668359743147
45,1.754499324930992,1.7517304870664143
46,1.7446157131797886,1.7418496047960008
47,1.7388532316372813,1.7360913511847138
48,1.7963246702873987,1.7936240148573608
49,1.7858796336578924,1.7831890223273275
50,1.7700664112503048,1.7673642076278957
51,1.7597777646410169,1.7570177850353066
52,1.7496387942711238,1.7468706179837907
53,1.7444784226305319,1.7417172507457144
54,1.739196762278268,1.7364225056478186
55,1.7291045799920846,1.7263217239235826
56,1.7185688549199107,1.7158065389330133
57,1.7133075840765033,1.710533351135192
58,1.7087738720933328,1.706014499648521
59,1.7030772867694939,1.7003110272642588
60,1.6973474382801987,1.6945798601797895
61,1.6876522353137065,1.6849029086609286
62,1.677272980590484,1.6744741591159717
63,1.6773474715455046,1.6745692479879102
64,1.666482697442726,1.663716375981405
65,1.6617941363357052,1.659013868748246
66,1.6566588646799771,1.6538540573335014
67,1.6454478862638509,1.642653782130131
68,1.6406545120892628,1.6378578430223698
69,1.6355030501068988,1.6327350407099108
70,1.6305579957417278,1.6277528915533617
71,1.6248779174145203,1.622125485521159
72,1.6141495846774403,1.6113256603765849
73,1.6093597812825509,1.6065631397488385
74,1.6043170009820322,1.6015142233917594
75,1.5931958847939098,1.590369231400328
76,1.5886112354561877,1.5857889968242211
77,1.5877586603505671,1.5849430707374117
78,1.598294962573235,1.5955263892495937
79,1.5775484523247068,1.5747301747801037
80,1.5676877828033464,1.5649019950937946
81,1.5626126935870246,1.5597659473370362
82,1.5622972708322507,1.5594815668184234
83,1.5575058031470699,1.55468935359061
84,1.5516878198017114,1.5488741079890418
85,1.541024276517313,1.538236598942558
86,1.5307400062193086,1.527914258251028
87,1.531355420379328,1.5285252629756445
88,1.5255090833585352,1.522647325284378
89,1.520365278464167,1.5174859938489869
90,1.6086309381181425,1.605818899130659
91,1.5666463014841483,1.5638491446744425
92,1.550898211902648,1.5480915247767786
93,1.535244037535909,1.5323755631868592
94,1.5297824819108374,1.5269528268489705
95,1.5198222341553904,1.5169573017136326
96,1.5147473523853856,1.5118975960142693
97,1.5094236534146164,1.5065638960681105
98,1.5043956942637065,1.5015453526671363
99,1.4936989031861747,1.4908444050400238
100,1.4887764132488084,1.485868384561201
101,1.4832327683503483,1.480413677976106
102,1.4780219961692858,1.4752095869031632
103,1.488764181109393,1.4859035988304024
104,1.4989777775642028,1.4960918298136696
105,1.483653434234258,1.4808005946928984
106,1.4726155251511308,1.4697543268466824
107,1.4567619472402054,1.4539012274845928
108,1.457031023097202,1.4541462067235693
109,1.457875587568868,1.455023751906683
110,1.4519129483806885,1.449042163761236
111,1.4415068461566323,1.4386709371480566
112,1.4363570697237849,1.433445432156979
113,1.4362790400515748,1.4333958900838095
114,1.4309074641562427,1.42806487344776
115,1.42576692732453,1.4229203181741186
116,1.4202767373006044,1.417429032731308
117,1.4153008039992785,1.412409228794446
118,1.4154480754411427,1.412578792940193
119,1.4105056820064832,1.4075983731469897
120,1.4362617038106482,1.4333920485221476
121,1.4411396600206692,1.4382550176792908
122,1.4201954678363147,1.4173547174485526
123,1.409820636214818,1.406981663677643
124,1.4040574034350264,1.4012037783587625
125,1.3995562025716903,1.3967008232726328
126,1.394145578925777,1.391284788852726
127,1.3890648315977163,1.3862287677978349
128,1.3832767178117404,1.3804366761974138
129,1.3780870786062813,1.3752364150256224
130,1.373342453453028,1.3705128024895008
131,1.3733564517644992,1.3705085566270399
132,1.3675680864985513,1.3647355108681518
133,1.3782119928780754,1.375392016895762
134,1.3889320811671084,1.3861115151535393
135,1.3726690816000657,1.3698500035838939
136,1.3676308984714949,1.3647827949260758
137,1.3571610577315847,1.3543220466259964
138,1.3575191287345196,1.3546417018378962
139,1.3575451763009598,1.3547039213192407
140,1.352175140534825,1.349314997503458
141,1.347014452360878,1.3441891937970554
142,1.3418763929115738,1.3389913790695755
143,1.3417692988881509,1.3389145230206971
144,1.3368573630653544,1.3340066759761655
145,1.3314827549752157,1.3286444309174914
146,1.3260395713232653,1.3231708992276219
147,1.321057250792191,1.3181691588445197
148,1.321407618015373,1.3184664436640334
149,1.3211631569114997,1.318293040102702
150,1.326757531472249,1.323872422244268
151,1.362946062047155,1.3601216766554785
152,1.3424141335265265,1.3395306867947354
153,1.3318675272546392,1.3290286565120697
154,1.3265566882170339,1.3236741274998955
155,1.3215376132157222,1.318633896753293
156,1.316400356892891,1.3134751321324272
157,1.316050590598689,1.3132020634442203
158,1.3107151741703278,1.3077959946944353
159,1.3059401416691592,1.3030329186405918
160,1.3062281406484295,1.3033573559038205
161,1.3062876238722194,1.3034100438655642
162,1.3007891927530375,1.2978870806495706
163,1.3010480183621342,1.2980735056918902
164,1.2964373791100468,1.293463613844243
165,1.2909208975911481,1.288003392619118
166,1.2903573012811385,1.2874525221379407
167,1.3118827197665621,1.3090153642307354
168,1.3279344206694543,1.3250793286429356
